statefp,state,maptype,districts,county_splits,efficiency_gap,efficiency_gap_extra_seats,district_perimeters,state_perimeter,interior_perimeter_measure,compactness_rank
32,NV,algorithmic-compact,4,7,-0.03186757632894268,D+0,47.81025332669568,23.8180424637005,11.99610543149759,6
32,NV,current,4,3,-0.020914434467820472,D+0,42.64615166284934,23.8180424637005,9.41405459957442,1
36,NY,Compact,27,26,-0.0024899885812054504,D+0,81.6023310440839,30.9649051453743,25.318712949354797,1
36,NY,Competitive,27,33,-0.01760015218389311,D+0,86.44131998370038,30.9649051453743,27.73820741916304,5
36,NY,Dem,27,44,-0.030570233247598846,D+1,91.21072598955564,30.9649051453743,30.12291042209067,7
36,NY,GOP,27,61,0.20334174309836703,R+5,105.77591133301321,30.9649051453743,37.405503093819455,8
36,NY,MajMin,27,40,0.04447645073786959,R+1,88.56541932871053,30.9649051453743,28.800257091668115,6
36,NY,Proportional,27,27,-0.0024900109193526365,D+0,82.04542474209451,30.9649051453743,25.540259798360104,2
36,NY,algorithmic-compact,27,79,-0.06158556166196927,D+2,84.5486766448538,30.9649051453743,26.79188574973975,3
36,NY,current,27,36,-0.0004637549110458328,D+0,85.29946085716794,30.9649051453743,27.16727785589682,4
39,OH,Compact,16,15,0.05897872314348252,R+1,70.63501793844758,18.0672267385024,26.28389559997259,1
39,OH,Competitive,16,24,-0.04052856389712649,D+1,75.53397054504552,18.0672267385024,28.73337190327156,3
39,OH,Dem,16,38,-0.06140433579432775,D+1,84.61625914998214,18.0672267385024,33.27451620573987,5
39,OH,GOP,16,30,0.22885770817357748,R+4,90.72796616836555,18.0672267385024,36.33036971493158,7
39,OH,MajMin,16,31,0.06631136778028761,R+1,79.75292913945243,18.0672267385024,30.842851200475017,4
39,OH,Proportional,16,38,-0.06140433579432775,D+1,84.61625914998214,18.0672267385024,33.27451620573987,5
39,OH,algorithmic-compact,16,75,0.12100037356634644,R+2,73.83695488665326,18.0672267385024,27.88486407407543,2
39,OH,current,16,32,0.23718671777246897,R+4,111.59983905466738,18.0672267385024,46.76630615808249,8
40,OK,Compact,5,4,0.1392340612787824,R+1,56.5580235633823,27.2111117398704,14.67345591175595,1
40,OK,Competitive,5,4,0.13923405070286402,R+1,59.24016431418451,27.2111117398704,16.014526287157054,5
40,OK,Dem,5,13,-0.0387253904850115,D+0,60.976191597131,27.2111117398704,16.8825399286303,6
40,OK,GOP,5,4,0.13923433708038568,R+1,58.3720161976954,27.2111117398704,15.5804522289125,3
40,OK,MajMin,5,22,0.1392333632050084,R+1,72.6169502648449,27.2111117398704,22.70291926248725,8
40,OK,Proportional,5,13,-0.0387253904850115,D+0,60.976191597131,27.2111117398704,16.8825399286303,6
40,OK,algorithmic-compact,5,27,0.1392347677247519,R+1,57.53228253573034,27.2111117398704,15.16058539792997,2
40,OK,current,5,4,0.13923433708038568,R+1,58.3720161976954,27.2111117398704,15.5804522289125,3
41,OR,Compact,5,4,0.013501666074533599,R+0,53.35478687812754,25.960671782709,13.69705754770927,1
41,OR,Competitive,5,6,0.0124304555677394,R+0,53.59081017146304,25.960671782709,13.81506919437702,2
41,OR,Dem,5,10,-0.18055998983724694,D+1,61.02289826559213,25.960671782709,17.531113241441567,8
41,OR,GOP,5,8,0.2226454878575476,R+1,56.673387409938016,25.960671782709,15.356357813614508,6
41,OR,MajMin,5,6,0.01004838730379901,R+0,55.11971712346528,25.960671782709,14.57952267037814,4
41,OR,Proportional,5,6,0.0124304555677394,R+0,53.59081017146304,25.960671782709,13.81506919437702,2
41,OR,algorithmic-compact,5,15,0.01319166275771988,R+0,56.20808496704721,25.960671782709,15.123706592169107,5
41,OR,current,5,5,-0.17874605358249057,D+1,59.67304312486224,25.960671782709,16.85618567107662,7
42,PA,Compact,18,17,0.08578358839957698,R+2,71.29538825175318,17.3313099040976,26.98203917382779,1
42,PA,Competitive,18,40,-0.0558713038842829,D+1,84.85779947731801,17.3313099040976,33.7632447866102,5
42,PA,Dem,18,46,-0.022398601475384375,D+0,94.75337376760442,17.3313099040976,38.71103193175341,6
42,PA,GOP,18,30,0.20541513990383267,R+4,80.29519842561298,17.3313099040976,31.48194426075769,4
42,PA,MajMin,18,22,0.11861431401516416,R+2,75.17432370360022,17.3313099040976,28.92150689975131,2
42,PA,Proportional,18,46,-0.022398601475384375,D+0,94.75337376760442,17.3313099040976,38.71103193175341,6
42,PA,algorithmic-compact,18,72,0.1108102736775709,R+2,78.77558382431198,17.3313099040976,30.72213696010719,3
42,PA,current,18,39,0.17729027883734233,R+3,120.20391560963749,17.3313099040976,51.43630285276994,8
44,RI,Compact,2,1,-0.2774159924015949,D+1,6.79578014253139,5.81018960074091,0.4927952708952401,4
44,RI,Competitive,2,1,0.004875208329523706,R+0,6.67653064595827,5.81018960074091,0.43317052260867994,1
44,RI,Dem,2,1,-0.27741643335722976,D+1,6.88456668718046,5.81018960074091,0.5371885432197749,5
44,RI,GOP,2,1,0.004875208329523706,R+0,6.67653064595827,5.81018960074091,0.43317052260867994,1
44,RI,MajMin,2,1,-0.2774159924015949,D+1,7.17328869657456,5.81018960074091,0.6815495479168252,7
44,RI,Proportional,2,1,0.0044473419718459445,R+0,6.68139023133421,5.81018960074091,0.4356003152966501,3
44,RI,algorithmic-compact,2,2,-0.2774171377195352,D+1,8.02606501099184,5.81018960074091,1.1079377051254649,8
44,RI,current,2,1,-0.27741643335722976,D+1,6.88456668718046,5.81018960074091,0.5371885432197749,5
45,SC,Compact,7,6,0.08433675750840948,R+1,50.345548593698126,15.9258765486592,17.20983602251946,1
45,SC,Competitive,7,15,-0.05455521009343122,D+0,53.25318342012624,15.9258765486592,18.663653435733522,3
